# Znak Russian dictionary.
# Source: hingston/russian 50000-russian-words-cyrillic-only.txt
# Derived from University of Leeds Corpus, CC BY Attribution.
# Format:
#   word frequency
# Lines beginning with # are ignored. Frequency is optional; higher means earlier.
и 100000
в 99999
не 99998
на 99997
я 99996
что 99995
быть 99994
с 99993
он 99992
а 99991
это 99990
как 99989
то 99988
этот 99987
по 99986
к 99985
но 99984
они 99983
мы 99982
она 99981
который 99980
из 99979
у 99978
свой 99977
вы 99976
весь 99975
за 99974
для 99973
от 99972
о 99971
так 99970
мочь 99969
все 99968
ты 99967
же 99966
год 99965
человек 99964
один 99963
такой 99962
тот 99961
или 99960
если 99959
только 99958
его 99957
бы 99956
себя 99955
время 99954
когда 111000
еще 99953
уже 99952
другой 99951
сказать 99950
до 99949
мой 99948
наш 99947
чтобы 99946
говорить 99945
самый 99944
знать 99943
вот 99942
очень 99941
нет 99940
кто 109000
при 99939
да 99938
стать 99937
день 99936
первый 99935
даже 99934
можно 99933
жизнь 99932
во 99931
ни 99930
сам 99929
дело 99928
два 99927
новый 99926
раз 99925
хотеть 99924
должен 99923
ли 99922
какой 99921
со 99920
там 99919
их 99918
много 99917
работа 99916
иметь 99915
после 99914
где 110000
вопрос 102000
рука 99913
город 99912
ее 99911
под 99910
каждый 99909
слово 99908
место 99907
без 99906
ну 99905
ребенок 99904
просто 99903
более 99902
друг 99901
большой 99900
надо 99899
чем 99898
ваш 99897
сделать 99896
идти 99895
здесь 99894
делать 99893
сейчас 114000
россия 99892
видеть 99891
потом 113000
ничто 99890
через 99889
мир 99888
теперь 99887
несколько 99886
думать 99885
потому 99884
случай 99883
сторона 99882
хороший 99881
тоже 99880
глаз 99879
тогда 99878
тут 99877
дом 99876
страна 99875
об 99874
сила 99873
последний 99872
работать 99871
также 99870
лицо 99869
жить 99868
часть 99867
хотя 99866
женщина 99865
система 99864
всегда 99863
являться 99862
вид 99861
голова 99860
проблема 99859
конец 99858
ведь 99857
между 99856
конечно 99855
смотреть 99854
пока 99853
отношение 99852
получить 99851
дать 99850
русский 108000
три 99849
второй 99848
именно 99847
перед 99846
лишь 99845
образ 99844
понять 99843
деньги 99842
поэтому 99841
почему 112000
понимать 99840
москва 99839
любой 99838
однако 99837
хорошо 99836
никто 99835
час 99834
начать 99833
найти 99832
считать 99831
взять 99830
над 99829
земля 99828
сегодня 116000
вообще 99827
книга 99826
пойти 99825
возможность 99824
некоторый 99823
оказаться 99822
прийти 99821
компания 99820
история 99819
любить 99818
высокий 99817
нужно 99816
почти 99815
остаться 99814
твой 99813
результат 99812
больше 99811
например 99810
право 99809
группа 99808
писать 99807
сидеть 99806
путь 99805
машина 99804
находиться 99803
увидеть 99802
война 99801
казаться 99800
стоять 99799
имя 99798
решить 99797
никогда 99796
стоить 99795
маленький 99794
ответ 99793
вода 99792
решение 99791
бог 99790
совсем 99789
язык 107000
далеко 99788
нужный 99787
давать 99786
ответить 99785
полный 99784
российский 99783
народ 99782
власть 99781
сразу 99780
уровень 99779
выйти 99778
ночь 99777
пора 99776
часто 99775
спросить 99774
развитие 99773
программа 104000
начало 99772
никакой 99771
оно 99770
главный 99769
дверь 99768
вместе 99767
момент 99766
закон 99765
число 99764
цель 99763
принять 99762
следующий 99761
написать 99760
отец 99759
правда 99758
нога 99757
старый 99756
помощь 99755
информация 99754
уж 99753
тысяча 99752
про 99751
подобный 99750
разный 99749
общий 99748
месяц 99747
пройти 99746
кроме 99745
минута 99744
мало 99743
всё 99742
процесс 99741
ситуация 99740
смочь 99739
автор 99738
начинать 99737
форма 99736
голос 99735
многий 99734
собственный 99733
мысль 99732
свет 99731
качество 99730
школа 99729
всякий 99728
действие 99727
мужчина 99726
область 99725
внимание 99724
следовать 99723
использовать 99722
дорога 99721
связь 99720
марк 99719
взгляд 99718
условие 99717
молодой 99716
скоро 99715
снова 99714
любовь 99713
основной 99712
становиться 99711
важный 99710
ждать 99709
вдруг 99708
игра 99707
читать 99706
статья 99705
организация 99704
средство 99703
существовать 99702
душа 99701
пытаться 99700
тело 99699
посмотреть 99698
общество 99697
жена 99696
государство 99695
оставаться 99694
совершенно 99693
письмо 99692
состояние 99691
вечер 99690
настоящий 99689
назад 99688
смысл 99687
мера 99686
семья 99685
простой 99684
вещь 99683
вернуться 99682
затем 99681
причина 99680
